D 2023-04-16 17:32:02,208| DEBUG    | [service.py:service:_start_process:204] - Started executable: `chromedriver` in a child process with pid: 19489
D 2023-04-16 17:32:02,754| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:55495/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": []}}}}
D 2023-04-16 17:32:02,757| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): localhost:55495
D 2023-04-16 17:32:10,221| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55495 "POST /session HTTP/1.1" 200 868
D 2023-04-16 17:32:10,225| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:32:10,243| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:55495/session/b41f7e3d3965868eb88242d8e2a531aa/url {"url": "https://sgzzlb.lingxigames.com/website/"}
D 2023-04-16 17:32:12,762| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55495 "POST /session/b41f7e3d3965868eb88242d8e2a531aa/url HTTP/1.1" 200 14
D 2023-04-16 17:32:12,762| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:32:12,763| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:55495/session/b41f7e3d3965868eb88242d8e2a531aa/element {"using": "xpath", "value": "//a[contains(text(),'\u65b0\u95fb\u8d44\u8baf')]"}
D 2023-04-16 17:32:13,988| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55495 "POST /session/b41f7e3d3965868eb88242d8e2a531aa/element HTTP/1.1" 200 88
D 2023-04-16 17:32:13,988| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:32:13,989| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:55495/session/b41f7e3d3965868eb88242d8e2a531aa/element/b630d25f-4c17-43ba-ad57-cc4ede7869b6/click {"id": "b630d25f-4c17-43ba-ad57-cc4ede7869b6"}
D 2023-04-16 17:32:16,733| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55495 "POST /session/b41f7e3d3965868eb88242d8e2a531aa/element/b630d25f-4c17-43ba-ad57-cc4ede7869b6/click HTTP/1.1" 200 14
D 2023-04-16 17:32:16,734| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:32:16,734| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:55495/session/b41f7e3d3965868eb88242d8e2a531aa/back {}
D 2023-04-16 17:32:17,067| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55495 "POST /session/b41f7e3d3965868eb88242d8e2a531aa/back HTTP/1.1" 200 14
D 2023-04-16 17:32:17,068| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:32:20,071| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:55495/session/b41f7e3d3965868eb88242d8e2a531aa/forward {}
D 2023-04-16 17:32:20,192| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55495 "POST /session/b41f7e3d3965868eb88242d8e2a531aa/forward HTTP/1.1" 200 14
D 2023-04-16 17:32:20,192| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:32:22,198| DEBUG    | [remote_connection.py:remote_connection:_request:303] - DELETE http://localhost:55495/session/b41f7e3d3965868eb88242d8e2a531aa {}
D 2023-04-16 17:32:22,256| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55495 "DELETE /session/b41f7e3d3965868eb88242d8e2a531aa HTTP/1.1" 200 14
D 2023-04-16 17:32:22,256| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
